AVAILABLE,COMBINATION,
13 | 12 | 10 | 0 | 0 | 0 | 0 | 0 | 0,000112221,
13 | 12 | 0 | 0 | 10 | 0 | 0 | 0 | 0,002102121,
0 | 10 | 0 | 0 | 0 | 34 | 0 | 10 | 0,102210102,
10 | 10 | 0 | 10 | 9 | 0 | 0 | 0 | 10,001001220,
10 | 0 | 0 | 0 | 0 | 10 | 10 | 0 | 0,011210022,
2 | 7 | 0 | 0 | 0 | 0 | 0 | 16 | 0,001112202,
10 | 10 | 0 | 0 | 0 | 0 | 0 | 0 | 10,001122120,
22 | 34 | 0 | 0 | 29 | 0 | 0 | 0 | 0,002201121,
10 | 0 | 10 | 0 | 10 | 0 | 0 | 0 | 0,010102221,
16 | 9 | 0 | 0 | 10 | 0 | 10 | 0 | 10,001201020,
10 | 10 | 0 | 0 | 13 | 0 | 0 | 0 | 0,001202112,
13 | 9 | 0 | 0 | 0 | 0 | 7 | 0 | 0,001122012,
10 | 0 | 0 | 0 | 10 | 0 | 0 | 10 | 0,011102202,
10 | 10 | 0 | 0 | 0 | 0 | 10 | 0 | 0,002212011,
10 | 10 | 0 | 0 | 9 | 0 | 10 | 0 | 10,002102010,
71 | 11 | 0 | 35 | 31 | 0 | 0 | 24 | 0,001002201,
10 | 0 | 0 | 0 | 10 | 0 | 0 | 0 | 10,012101220,
8 | 5 | 7 | 32 | 7 | 0 | 0 | 10 | 62,000002100,
10 | 0 | 13 | 0 | 0 | 0 | 0 | 10 | 0,010212102,
10 | 10 | 0 | 0 | 10 | 0 | 10 | 0 | 10,001102020,
10 | 10 | 0 | 0 | 10 | 0 | 10 | 0 | 10,002201010,
10 | 0 | 0 | 0 | 10 | 0 | 0 | 10 | 0,011201202,
10 | 0 | 10 | 0 | 10 | 0 | 0 | 0 | 0,010102212,
10 | 0 | 10 | 0 | 0 | 0 | 0 | 9 | 0,010122201,
10 | 10 | 0 | 0 | 0 | 10 | 0 | 0 | 0,001120122,
10 | 10 | 0 | 12 | 0 | 0 | 0 | 0 | 0,001012212,
10 | 0 | 0 | 0 | 10 | 10 | 0 | 0 | 0,011200122,
10 | 10 | 0 | 10 | 0 | 0 | 0 | 0 | 0,002011212,
10 | 0 | 0 | 0 | 10 | 10 | 0 | 0 | 0,021200121,
10 | 10 | 10 | 10 | 0 | 0 | 0 | 0 | 10,000012120,
0 | 7 | 0 | 0 | 10 | 14 | 0 | 0 | 0,102200112,
111 | 5 | 0 | 0 | 0 | 4 | 4 | 3 | 0,001120002,
10 | 11 | 0 | 0 | 0 | 0 | 9 | 0 | 0,002121021,
10 | 10 | 0 | 0 | 16 | 10 | 0 | 9 | 0,002100201,
27 | 6 | 26 | 6 | 14 | 10 | 20 | 0 | 0,000000012,
10 | 10 | 0 | 0 | 0 | 0 | 0 | 0 | 10,002122110,
13 | 10 | 10 | 10 | 10 | 0 | 0 | 0 | 0,000001221,
22 | 0 | 0 | 0 | 0 | 12 | 18 | 0 | 0,012210021,
10 | 10 | 0 | 11 | 10 | 0 | 0 | 11 | 0,001001202,
0 | 10 | 0 | 0 | 13 | 0 | 0 | 9 | 0,102101202,
38 | 7 | 0 | 0 | 0 | 0 | 0 | 6 | 0,001221102,
10 | 10 | 10 | 0 | 0 | 0 | 0 | 0 | 0,000121122,
4 | 4 | 50 | 0 | 0 | 0 | 0 | 0 | 0,000122211,
10 | 0 | 0 | 0 | 10 | 0 | 10 | 0 | 0,012201021,
7 | 5 | 8 | 0 | 0 | 0 | 7 | 6 | 0,000121002,
10 | 12 | 0 | 14 | 0 | 0 | 0 | 0 | 0,001012221,
10 | 10 | 0 | 0 | 10 | 0 | 9 | 0 | 10,001202010,
10 | 0 | 0 | 0 | 10 | 0 | 0 | 0 | 10,011201220,
10 | 0 | 0 | 0 | 10 | 10 | 0 | 0 | 0,021200112,
10 | 12 | 0 | 0 | 0 | 0 | 0 | 0 | 13,001121220,
10 | 10 | 0 | 0 | 10 | 10 | 0 | 0 | 10,001100220,
0 | 33 | 0 | 0 | 25 | 24 | 0 | 0 | 0,102200121,
13 | 10 | 0 | 0 | 0 | 0 | 0 | 13 | 0,002122101,
9 | 8 | 0 | 0 | 0 | 0 | 10 | 0 | 0,002121012,
9 | 0 | 10 | 0 | 0 | 0 | 10 | 0 | 0,010112022,
10 | 10 | 0 | 0 | 10 | 10 | 0 | 0 | 10,002100210,
10 | 10 | 0 | 10 | 10 | 10 | 0 | 0 | 0,001000122,
0 | 9 | 0 | 0 | 13 | 10 | 0 | 0 | 0,102100221,
14 | 29 | 25 | 28 | 32 | 31 | 52 | 0 | 0,000000021,
10 | 10 | 0 | 0 | 0 | 10 | 0 | 0 | 0,002110122,
10 | 8 | 13 | 13 | 0 | 0 | 13 | 0 | 0,000011022,
10 | 0 | 0 | 0 | 10 | 0 | 0 | 10 | 0,012202101,
10 | 0 | 0 | 0 | 10 | 0 | 10 | 0 | 0,012201012,
10 | 10 | 0 | 0 | 0 | 10 | 10 | 10 | 0,002110002,
10 | 0 | 0 | 0 | 10 | 0 | 0 | 10 | 0,011202201,
9 | 9 | 8 | 0 | 0 | 0 | 10 | 0 | 8,000121020,
8 | 19 | 0 | 0 | 0 | 7 | 4 | 0 | 3,001120020,
1445 | 3237 | 0 | 0 | 0 | 0 | 0 | 2704 | 0,001122201,
10 | 10 | 0 | 0 | 0 | 10 | 0 | 0 | 0,001210221,
13 | 10 | 0 | 0 | 0 | 0 | 0 | 0 | 9,002121120,
10 | 0 | 10 | 0 | 10 | 0 | 0 | 0 | 0,010202112,
21 | 5 | 8 | 11 | 8 | 0 | 0 | 8 | 8,000001200,
0 | 10 | 0 | 10 | 10 | 0 | 0 | 0 | 0,101002212,
10 | 9 | 0 | 12 | 10 | 10 | 0 | 0 | 0,001000212,
9 | 10 | 10 | 9 | 0 | 0 | 0 | 10 | 0,000012102,
10 | 0 | 10 | 0 | 9 | 0 | 10 | 0 | 10,010102020,
9 | 8 | 0 | 0 | 0 | 10 | 0 | 0 | 0,001220112,
16 | 9 | 10 | 0 | 0 | 0 | 0 | 0 | 0,000122112,
10 | 0 | 0 | 0 | 10 | 0 | 0 | 0 | 10,012201120,
10 | 0 | 0 | 0 | 10 | 0 | 0 | 0 | 10,011202210,
10 | 0 | 0 | 0 | 10 | 10 | 0 | 0 | 0,021200211,
13 | 19 | 0 | 12 | 0 | 0 | 0 | 12 | 12,001012200,
10 | 10 | 0 | 0 | 9 | 10 | 0 | 12 | 0,001100202,
49 | 29 | 0 | 0 | 0 | 0 | 0 | 0 | 44,001122210,
10 | 10 | 0 | 10 | 0 | 0 | 0 | 0 | 0,002011221,
12 | 13 | 0 | 0 | 0 | 9 | 0 | 0 | 0,001210212,
444 | 819 | 728 | 59 | 602 | 901 | 5394 | 502 | 1230,000000000,
57 | 0 | 0 | 0 | 0 | 0 | 22 | 0 | 118,012211020,
10 | 9 | 10 | 10 | 10 | 0 | 0 | 0 | 0,000001212,
8 | 9 | 0 | 5 | 0 | 0 | 0 | 0 | 0,001022121,
0 | 10 | 0 | 0 | 10 | 0 | 0 | 10 | 0,101102202,
10 | 10 | 0 | 10 | 10 | 10 | 0 | 0 | 0,001000221,
0 | 19 | 0 | 10 | 10 | 0 | 0 | 0 | 0,101002221,
10 | 16 | 0 | 0 | 0 | 10 | 0 | 0 | 0,002110221,
10 | 10 | 0 | 0 | 0 | 16 | 0 | 0 | 0,001220121,
19 | 9 | 0 | 0 | 0 | 0 | 0 | 0 | 10,001221210,
17 | 10 | 12 | 10 | 0 | 0 | 0 | 0 | 13,000012210,
10 | 3 | 0 | 0 | 0 | 64 | 10 | 6 | 0,001220001,
8 | 9 | 0 | 9 | 10 | 8 | 0 | 0 | 0,002000211,
25 | 9 | 10 | 0 | 0 | 0 | 0 | 13 | 17,000122100,
10 | 0 | 10 | 0 | 0 | 0 | 10 | 0 | 0,010212021,
10 | 13 | 0 | 13 | 0 | 10 | 0 | 13 | 0,002010201,
10 | 0 | 0 | 0 | 10 | 0 | 0 | 10 | 0,011202102,
10 | 0 | 0 | 0 | 10 | 0 | 0 | 10 | 0,012201102,
9 | 8 | 13 | 12 | 0 | 15 | 10 | 0 | 9,000010020,
10 | 10 | 0 | 0 | 10 | 0 | 0 | 0 | 0,001102212,
10 | 9 | 0 | 0 | 0 | 0 | 10 | 0 | 0,001112022,
10 | 13 | 0 | 0 | 0 | 10 | 10 | 10 | 0,001210002,
0 | 0 | 0 | 898 | 0 | 0 | 0 | 0 | 0,001022211,
10 | 9 | 0 | 8 | 0 | 0 | 0 | 0 | 0,001021122,
13 | 10 | 0 | 0 | 10 | 9 | 0 | 0 | 10,002100120,
10 | 0 | 10 | 0 | 10 | 0 | 10 | 0 | 10,010202010,
10 | 10 | 0 | 0 | 10 | 0 | 0 | 0 | 0,002101212,
10 | 0 | 0 | 0 | 0 | 0 | 10 | 0 | 10,011212020,
10 | 13 | 14 | 10 | 0 | 0 | 0 | 10 | 0,000012201,
10 | 10 | 0 | 0 | 10 | 10 | 0 | 10 | 0,001200201,
13 | 8 | 16 | 0 | 14 | 0 | 13 | 9 | 21,000102000,
10 | 10 | 10 | 0 | 10 | 0 | 0 | 0 | 10,000102120,
14 | 14 | 0 | 0 | 0 | 0 | 0 | 0 | 22,002221110,
10 | 0 | 0 | 0 | 9 | 0 | 10 | 0 | 0,011201022,
10 | 0 | 12 | 0 | 0 | 0 | 10 | 0 | 0,010122021,
10 | 9 | 0 | 0 | 10 | 10 | 10 | 0 | 0,001100022,
87 | 7 | 0 | 0 | 0 | 4 | 0 | 0 | 0,001120212,
10 | 10 | 0 | 0 | 10 | 0 | 0 | 10 | 12,001102200,
100 | 24 | 6 | 11 | 32 | 16 | 0 | 36 | 0,000000102,
9 | 12 | 10 | 9 | 0 | 0 | 8 | 0 | 0,000021021,
9 | 9 | 9 | 12 | 0 | 0 | 0 | 0 | 19,000022110,
8 | 4 | 0 | 0 | 0 | 0 | 0 | 7 | 0,001211202,
10 | 10 | 0 | 0 | 10 | 0 | 0 | 0 | 0,002101221,
10 | 0 | 10 | 0 | 10 | 0 | 0 | 0 | 0,010202121,
7 | 0 | 6 | 0 | 0 | 0 | 0 | 0 | 20,010112220,
10 | 10 | 0 | 0 | 10 | 10 | 10 | 0 | 0,002100012,
24 | 8 | 0 | 26 | 15 | 16 | 0 | 29 | 23,001000200,
16 | 13 | 0 | 0 | 0 | 10 | 0 | 0 | 0,002210211,
0 | 106 | 0 | 34 | 0 | 38 | 0 | 0 | 0,101020212,
0 | 10 | 0 | 10 | 10 | 0 | 0 | 0 | 0,101002122,
10 | 10 | 10 | 10 | 0 | 0 | 0 | 0 | 10,000011220,
16 | 0 | 0 | 0 | 0 | 13 | 0 | 9 | 0,011220201,
10 | 0 | 10 | 0 | 0 | 0 | 0 | 10 | 0,020212101,
10 | 0 | 0 | 0 | 10 | 12 | 0 | 0 | 0,012200121,
16 | 16 | 0 | 0 | 0 | 0 | 0 | 34 | 0,002221101,
0 | 10 | 0 | 10 | 13 | 0 | 0 | 0 | 0,102001221,
10 | 10 | 10 | 0 | 10 | 0 | 10 | 0 | 0,000102012,
7 | 88 | 0 | 0 | 0 | 25 | 0 | 0 | 0,001120221,
0 | 13 | 0 | 0 | 10 | 0 | 0 | 10 | 0,101202102,
12 | 0 | 0 | 0 | 10 | 10 | 0 | 0 | 0,012200112,
10 | 0 | 0 | 0 | 10 | 0 | 0 | 10 | 0,012201201,
0 | 10 | 0 | 0 | 10 | 0 | 0 | 10 | 0,102201102,
10 | 0 | 0 | 0 | 10 | 0 | 0 | 0 | 10,011202120,
9 | 10 | 0 | 0 | 0 | 0 | 0 | 0 | 10,001221120,
10 | 10 | 0 | 0 | 10 | 10 | 0 | 10 | 0,002100102,
9 | 7 | 9 | 10 | 0 | 0 | 9 | 0 | 0,000021012,
4 | 6 | 2 | 54 | 0 | 0 | 0 | 109 | 0,000022101,
16 | 8 | 0 | 0 | 0 | 0 | 0 | 9 | 0,001212201,
10 | 10 | 0 | 0 | 0 | 0 | 10 | 0 | 0,002122011,
34 | 12 | 0 | 0 | 0 | 14 | 0 | 0 | 0,002210121,
10 | 16 | 0 | 0 | 0 | 0 | 0 | 0 | 10,002211210,
0 | 10 | 0 | 0 | 10 | 10 | 0 | 0 | 0,102100212,
10 | 10 | 0 | 0 | 0 | 10 | 10 | 0 | 10,001210020,
0 | 10 | 0 | 10 | 0 | 10 | 0 | 0 | 0,101020122,
10 | 10 | 13 | 10 | 0 | 10 | 0 | 0 | 0,000010122,
0 | 10 | 0 | 10 | 10 | 0 | 0 | 0 | 0,102001212,
10 | 10 | 0 | 0 | 10 | 9 | 0 | 10 | 0,001200102,
20 | 2 | 88 | 5 | 0 | 313 | 67 | 161 | 0,000010002,
10 | 10 | 10 | 0 | 10 | 0 | 10 | 0 | 0,000102021,
9 | 10 | 0 | 0 | 0 | 0 | 0 | 0 | 10,002112210,
10 | 10 | 0 | 0 | 0 | 0 | 10 | 0 | 0,002221011,
10 | 0 | 0 | 0 | 10 | 0 | 10 | 0 | 0,011202012,
11 | 6 | 0 | 9 | 0 | 4 | 0 | 0 | 16,001010220,
16 | 16 | 0 | 9 | 0 | 16 | 0 | 0 | 10,002010210,
6 | 6 | 0 | 0 | 0 | 0 | 0 | 4 | 0,001121202,
4 | 89 | 4 | 3 | 0 | 0 | 0 | 0 | 5,000021120,
10 | 10 | 0 | 0 | 13 | 0 | 0 | 10 | 10,002101200,
9 | 25 | 0 | 0 | 0 | 14 | 0 | 0 | 0,002210112,
13 | 13 | 0 | 0 | 0 | 0 | 0 | 6 | 0,002211201,
0 | 58 | 0 | 6 | 0 | 0 | 0 | 31 | 0,101021202,
10 | 10 | 0 | 0 | 0 | 0 | 0 | 0 | 10,001211220,
24 | 6 | 0 | 0 | 0 | 0 | 5 | 0 | 0,001221012,
10 | 0 | 0 | 0 | 0 | 10 | 0 | 10 | 0,012110202,
10 | 0 | 0 | 0 | 0 | 10 | 0 | 10 | 0,011220102,
10 | 10 | 0 | 0 | 0 | 10 | 10 | 0 | 10,002110020,
10 | 8 | 8 | 10 | 0 | 0 | 0 | 13 | 0,000011202,
10 | 10 | 10 | 0 | 0 | 0 | 0 | 0 | 0,000121212,
19 | 10 | 0 | 0 | 0 | 0 | 0 | 28 | 0,002112201,
10 | 0 | 10 | 0 | 0 | 0 | 0 | 0 | 10,010122210,
10 | 10 | 10 | 0 | 12 | 0 | 0 | 10 | 0,000102201,
10 | 0 | 0 | 0 | 13 | 10 | 0 | 0 | 0,012200211,
10 | 13 | 0 | 0 | 10 | 10 | 0 | 0 | 10,001200120,
10 | 0 | 0 | 0 | 16 | 0 | 10 | 0 | 0,011202021,
10 | 0 | 0 | 0 | 0 | 10 | 0 | 10 | 0,011210202,
10 | 10 | 0 | 0 | 0 | 0 | 0 | 0 | 12,001112220,
20 | 12 | 0 | 8 | 0 | 0 | 0 | 11 | 22,001021200,
10 | 0 | 0 | 0 | 0 | 13 | 0 | 10 | 0,021210201,
5 | 4 | 12 | 0 | 0 | 0 | 6 | 8 | 0,000112002,
10 | 10 | 10 | 0 | 0 | 0 | 0 | 0 | 0,000112122,
0 | 31 | 0 | 19 | 0 | 0 | 0 | 5 | 0,101022201,
10 | 10 | 10 | 0 | 0 | 0 | 10 | 0 | 10,000212010,
13 | 0 | 0 | 0 | 0 | 10 | 10 | 0 | 0,011220012,
6 | 203 | 0 | 0 | 0 | 0 | 3 | 0 | 0,001122021,
5 | 0 | 0 | 0 | 0 | 70 | 0 | 82 | 0,012220101,
12 | 9 | 0 | 0 | 10 | 0 | 0 | 0 | 0,001201212,
10 | 12 | 0 | 0 | 12 | 10 | 0 | 10 | 0,002200101,
10 | 10 | 0 | 0 | 0 | 0 | 10 | 0 | 0,002112021,
3 | 5 | 0 | 5 | 0 | 4 | 0 | 185 | 0,001010202,
10 | 9 | 0 | 0 | 10 | 0 | 10 | 10 | 0,001102002,
9 | 10 | 10 | 0 | 13 | 0 | 0 | 10 | 0,000202101,
1366 | 1 | 516 | 1 | 0 | 1 | 280 | 0 | 83,000020010,
446 | 3 | 0 | 2 | 0 | 0 | 0 | 0 | 0,001021212,
89 | 4 | 2 | 3 | 0 | 0 | 0 | 3 | 0,000021102,
7 | 13 | 0 | 8 | 0 | 9 | 0 | 0 | 10,001020120,
10 | 10 | 0 | 0 | 10 | 0 | 13 | 0 | 10,002101020,
164 | 164 | 0 | 0 | 0 | 0 | 0 | 93 | 0,002211102,
10 | 10 | 0 | 0 | 0 | 0 | 0 | 0 | 10,001212210,
10 | 10 | 0 | 0 | 10 | 0 | 0 | 0 | 0,001102122,
13 | 10 | 0 | 0 | 10 | 0 | 0 | 9 | 10,001201200,
15 | 13 | 10 | 18 | 0 | 9 | 0 | 0 | 0,000010212,
10 | 0 | 10 | 0 | 0 | 0 | 0 | 10 | 0,010122102,
10 | 10 | 10 | 0 | 10 | 0 | 0 | 0 | 10,000102210,
10 | 10 | 10 | 0 | 10 | 0 | 0 | 10 | 0,000102102,
10 | 0 | 8 | 0 | 0 | 0 | 9 | 0 | 0,010121022,
10 | 10 | 0 | 0 | 10 | 10 | 10 | 0 | 0,001200021,
1 | 4078 | 1 | 1 | 0 | 0 | 0 | 0 | 0,000020121,
5 | 6 | 10 | 8 | 0 | 0 | 0 | 0 | 4,000021210,
3683 | 1 | 0 | 75 | 0 | 452 | 0 | 0 | 353,001020210,
0 | 1385 | 1395 | 1431 | 0 | 135 | 2959 | 93 | 0,000020001,
10 | 10 | 0 | 0 | 10 | 10 | 10 | 0 | 0,002100021,
10 | 0 | 0 | 0 | 10 | 10 | 0 | 0 | 0,012100221,
10 | 10 | 0 | 0 | 0 | 0 | 0 | 10 | 0,002212101,
14 | 10 | 0 | 0 | 0 | 0 | 10 | 0 | 0,002211012,
10 | 0 | 0 | 0 | 0 | 10 | 0 | 10 | 0,012210201,
9 | 12 | 12 | 0 | 0 | 0 | 12 | 0 | 18,000112020,
0 | 10 | 0 | 10 | 10 | 9 | 0 | 10 | 0,102000201,
13 | 13 | 10 | 0 | 0 | 0 | 0 | 0 | 0,000212112,
10 | 0 | 12 | 0 | 0 | 0 | 0 | 0 | 10,010122120,
10 | 10 | 0 | 0 | 0 | 0 | 0 | 0 | 10,002112120,
9 | 10 | 0 | 0 | 9 | 0 | 0 | 0 | 0,002201211,
13 | 0 | 0 | 0 | 0 | 13 | 10 | 0 | 0,011220021,
11 | 8 | 0 | 5 | 0 | 9 | 0 | 6 | 0,001020102,
586 | 0 | 1 | 1 | 0 | 1 | 0 | 0 | 0,000020112,
9 | 8 | 10 | 10 | 0 | 0 | 0 | 8 | 0,000021201,
10 | 10 | 0 | 0 | 10 | 0 | 0 | 0 | 0,002101122,
10 | 10 | 0 | 10 | 10 | 0 | 0 | 0 | 10,001002120,
10 | 0 | 0 | 0 | 10 | 10 | 0 | 0 | 0,012100212,
10 | 10 | 0 | 0 | 10 | 0 | 10 | 10 | 0,002101002,
9 | 10 | 0 | 0 | 10 | 0 | 0 | 0 | 0,002102211,
12 | 16 | 0 | 0 | 0 | 0 | 0 | 0 | 14,002211120,
0 | 10 | 0 | 10 | 10 | 8 | 0 | 10 | 0,101000202,
10 | 0 | 10 | 0 | 0 | 0 | 0 | 10 | 0,010112202,
10 | 9 | 0 | 0 | 0 | 0 | 10 | 0 | 0,001211022,
10 | 10 | 0 | 0 | 12 | 0 | 0 | 0 | 0,001102221,
0 | 10 | 0 | 0 | 0 | 13 | 0 | 10 | 0,102110202,
10 | 13 | 10 | 0 | 0 | 0 | 0 | 0 | 0,000212121,
10 | 16 | 10 | 0 | 0 | 0 | 10 | 10 | 0,000212001,
10 | 10 | 0 | 0 | 10 | 10 | 10 | 0 | 0,001200012,
10 | 10 | 10 | 0 | 10 | 0 | 10 | 0 | 0,000101022,
