AVAILABLE,COMBINATION,
10 | 10 | 0 | 0 | 10 | 0 | 10 | 0 | 10,002102010,
10 | 10 | 0 | 10 | 10 | 0 | 0 | 10 | 0,001002201,
10 | 0 | 0 | 0 | 10 | 0 | 0 | 0 | 10,012101220,
10 | 10 | 10 | 12 | 10 | 0 | 0 | 9 | 16,000002100,
10 | 0 | 10 | 0 | 0 | 0 | 0 | 10 | 0,010212102,
10 | 10 | 0 | 0 | 10 | 0 | 10 | 0 | 10,001102020,
10 | 10 | 0 | 0 | 10 | 0 | 10 | 0 | 10,002201010,
10 | 0 | 0 | 0 | 10 | 0 | 0 | 10 | 0,011201202,
10 | 0 | 10 | 0 | 10 | 0 | 0 | 0 | 0,010102212,
10 | 0 | 10 | 0 | 0 | 0 | 0 | 10 | 0,010122201,
10 | 10 | 0 | 0 | 0 | 10 | 0 | 0 | 0,001120122,
12 | 10 | 0 | 10 | 0 | 0 | 0 | 0 | 0,001012212,
10 | 0 | 0 | 0 | 10 | 10 | 0 | 0 | 0,011200122,
10 | 10 | 0 | 10 | 0 | 0 | 0 | 0 | 0,002011212,
10 | 0 | 0 | 0 | 10 | 10 | 0 | 0 | 0,021200121,
10 | 10 | 10 | 10 | 0 | 0 | 0 | 0 | 10,000012120,
0 | 10 | 0 | 0 | 10 | 10 | 0 | 0 | 0,102200112,
11 | 10 | 0 | 0 | 0 | 7 | 5 | 5 | 0,001120002,
10 | 10 | 0 | 0 | 0 | 0 | 10 | 0 | 0,002121021,
10 | 10 | 0 | 0 | 10 | 10 | 0 | 10 | 0,002100201,
14 | 10 | 9 | 11 | 8 | 12 | 13 | 0 | 0,000000012,
10 | 10 | 0 | 0 | 0 | 0 | 0 | 0 | 10,002122110,
10 | 10 | 10 | 13 | 10 | 0 | 0 | 0 | 0,000001221,
10 | 0 | 0 | 0 | 0 | 10 | 10 | 0 | 0,012210021,
9 | 10 | 0 | 10 | 10 | 0 | 0 | 10 | 0,001001202,
0 | 10 | 0 | 0 | 10 | 0 | 0 | 10 | 0,102101202,
25 | 8 | 0 | 0 | 0 | 0 | 0 | 8 | 0,001221102,
10 | 10 | 9 | 0 | 0 | 0 | 0 | 0 | 0,000121122,
9 | 7 | 14 | 0 | 0 | 0 | 0 | 0 | 0,000122211,
10 | 0 | 0 | 0 | 10 | 0 | 10 | 0 | 0,012201021,
9 | 7 | 5 | 0 | 0 | 0 | 5 | 7 | 0,000121002,
10 | 10 | 0 | 10 | 0 | 0 | 0 | 0 | 0,001012221,
10 | 10 | 0 | 0 | 10 | 0 | 10 | 0 | 10,001202010,
10 | 0 | 0 | 0 | 10 | 0 | 0 | 0 | 10,011201220,
10 | 0 | 0 | 0 | 10 | 10 | 0 | 0 | 0,021200112,
10 | 10 | 0 | 0 | 0 | 0 | 0 | 0 | 10,001121220,
10 | 10 | 0 | 0 | 10 | 10 | 0 | 0 | 10,001100220,
0 | 10 | 0 | 0 | 10 | 10 | 0 | 0 | 0,102200121,
10 | 10 | 0 | 0 | 0 | 0 | 0 | 10 | 0,002122101,
10 | 10 | 0 | 0 | 0 | 0 | 10 | 0 | 0,002121012,
10 | 0 | 10 | 0 | 0 | 0 | 10 | 0 | 0,010112022,
10 | 10 | 0 | 0 | 10 | 10 | 0 | 0 | 10,002100210,
10 | 10 | 0 | 10 | 10 | 10 | 0 | 0 | 0,001000122,
0 | 10 | 0 | 0 | 10 | 10 | 0 | 0 | 0,102100221,
11 | 10 | 13 | 7 | 12 | 10 | 10 | 0 | 0,000000021,
10 | 10 | 0 | 0 | 0 | 10 | 0 | 0 | 0,002110122,
10 | 10 | 10 | 10 | 0 | 0 | 12 | 0 | 0,000011022,
10 | 0 | 0 | 0 | 10 | 0 | 0 | 10 | 0,012202101,
10 | 0 | 0 | 0 | 10 | 0 | 10 | 0 | 0,012201012,
10 | 10 | 0 | 0 | 0 | 10 | 10 | 9 | 0,002110002,
10 | 0 | 0 | 0 | 10 | 0 | 0 | 10 | 0,011202201,
10 | 9 | 10 | 0 | 0 | 0 | 9 | 0 | 9,000121020,
6 | 13 | 0 | 0 | 0 | 4 | 5 | 0 | 6,001120020,
578 | 260 | 0 | 0 | 0 | 0 | 0 | 124 | 0,001122201,
10 | 10 | 0 | 0 | 0 | 10 | 0 | 0 | 0,001210221,
10 | 12 | 0 | 0 | 0 | 0 | 0 | 0 | 10,002121120,
10 | 0 | 10 | 0 | 10 | 0 | 0 | 0 | 0,010202112,
5 | 9 | 9 | 5 | 6 | 0 | 0 | 6 | 6,000001200,
0 | 10 | 0 | 10 | 10 | 0 | 0 | 0 | 0,101002212,
10 | 10 | 0 | 10 | 10 | 10 | 0 | 0 | 0,001000212,
10 | 10 | 10 | 10 | 0 | 0 | 0 | 10 | 0,000012102,
10 | 0 | 10 | 0 | 10 | 0 | 10 | 0 | 10,010102020,
8 | 10 | 0 | 0 | 0 | 10 | 0 | 0 | 0,001220112,
10 | 10 | 10 | 0 | 0 | 0 | 0 | 0 | 0,000122112,
10 | 0 | 0 | 0 | 10 | 0 | 0 | 0 | 10,012201120,
10 | 0 | 0 | 0 | 10 | 0 | 0 | 0 | 10,011202210,
10 | 0 | 0 | 0 | 10 | 13 | 0 | 0 | 0,021200211,
14 | 13 | 0 | 12 | 0 | 0 | 0 | 10 | 9,001012200,
10 | 10 | 0 | 0 | 10 | 10 | 0 | 10 | 0,001100202,
29 | 31 | 0 | 0 | 0 | 0 | 0 | 0 | 38,001122210,
10 | 10 | 0 | 10 | 0 | 0 | 0 | 0 | 0,002011221,
10 | 10 | 0 | 0 | 0 | 10 | 0 | 0 | 0,001210212,
43 | 328 | 89 | 327 | 188 | 375 | 154 | 472 | 94,000000000,
12 | 0 | 0 | 0 | 0 | 0 | 20 | 0 | 28,012211020,
10 | 10 | 10 | 10 | 10 | 0 | 0 | 0 | 0,000001212,
10 | 10 | 0 | 10 | 0 | 0 | 0 | 0 | 0,001022121,
0 | 10 | 0 | 0 | 10 | 0 | 0 | 12 | 0,101102202,
10 | 12 | 0 | 10 | 10 | 10 | 0 | 0 | 0,001000221,
0 | 10 | 0 | 10 | 10 | 0 | 0 | 0 | 0,101002221,
10 | 10 | 0 | 0 | 0 | 10 | 0 | 0 | 0,002110221,
10 | 9 | 0 | 0 | 0 | 10 | 0 | 0 | 0,001220121,
13 | 10 | 0 | 0 | 0 | 0 | 0 | 0 | 10,001221210,
13 | 10 | 10 | 12 | 0 | 0 | 0 | 0 | 10,000012210,
10 | 10 | 0 | 0 | 0 | 10 | 10 | 10 | 0,001220001,
10 | 10 | 0 | 10 | 7 | 8 | 0 | 0 | 0,002000211,
10 | 10 | 10 | 0 | 0 | 0 | 0 | 10 | 10,000122100,
10 | 0 | 13 | 0 | 0 | 0 | 10 | 0 | 0,010212021,
13 | 13 | 0 | 10 | 0 | 10 | 0 | 10 | 0,002010201,
10 | 0 | 0 | 0 | 10 | 0 | 0 | 10 | 0,011202102,
10 | 0 | 0 | 0 | 10 | 0 | 0 | 10 | 0,012201102,
10 | 11 | 13 | 13 | 0 | 12 | 13 | 0 | 10,000010020,
10 | 10 | 0 | 0 | 10 | 0 | 0 | 0 | 0,001102212,
10 | 10 | 0 | 0 | 0 | 0 | 10 | 0 | 0,001112022,
10 | 13 | 0 | 0 | 0 | 10 | 10 | 10 | 0,001210002,
1 | 4 | 0 | 258 | 0 | 0 | 0 | 0 | 0,001022211,
9 | 10 | 0 | 9 | 0 | 0 | 0 | 0 | 0,001021122,
10 | 10 | 0 | 0 | 10 | 10 | 0 | 0 | 10,002100120,
10 | 0 | 10 | 0 | 10 | 0 | 10 | 0 | 10,010202010,
10 | 10 | 0 | 0 | 10 | 0 | 0 | 0 | 0,002101212,
10 | 0 | 0 | 0 | 0 | 0 | 10 | 0 | 10,011212020,
10 | 10 | 10 | 10 | 0 | 0 | 0 | 10 | 0,000012201,
10 | 10 | 0 | 0 | 10 | 10 | 0 | 10 | 0,001200201,
9 | 13 | 10 | 0 | 10 | 0 | 17 | 10 | 12,000102000,
10 | 10 | 10 | 0 | 10 | 0 | 0 | 0 | 10,000102120,
10 | 12 | 0 | 0 | 0 | 0 | 0 | 0 | 13,002221110,
10 | 0 | 0 | 0 | 10 | 0 | 10 | 0 | 0,011201022,
10 | 0 | 10 | 0 | 0 | 0 | 10 | 0 | 0,010122021,
10 | 10 | 0 | 0 | 10 | 10 | 10 | 0 | 0,001100022,
586 | 4 | 0 | 0 | 0 | 1 | 0 | 0 | 0,001120212,
10 | 10 | 0 | 0 | 10 | 0 | 0 | 10 | 10,001102200,
10 | 10 | 9 | 11 | 12 | 9 | 0 | 10 | 0,000000102,
10 | 10 | 13 | 9 | 0 | 0 | 9 | 0 | 0,000021021,
10 | 10 | 10 | 10 | 0 | 0 | 0 | 0 | 10,000022110,
7 | 7 | 0 | 0 | 0 | 0 | 0 | 10 | 0,001211202,
10 | 10 | 0 | 0 | 10 | 0 | 0 | 0 | 0,002101221,
10 | 0 | 10 | 0 | 10 | 0 | 0 | 0 | 0,010202121,
6 | 0 | 6 | 0 | 0 | 0 | 0 | 0 | 22,010112220,
10 | 10 | 0 | 0 | 10 | 10 | 10 | 0 | 0,002100012,
10 | 10 | 0 | 10 | 11 | 10 | 0 | 12 | 10,001000200,
10 | 13 | 0 | 0 | 0 | 10 | 0 | 0 | 0,002210211,
0 | 22 | 0 | 18 | 0 | 12 | 0 | 0 | 0,101020212,
0 | 10 | 0 | 10 | 10 | 0 | 0 | 0 | 0,101002122,
10 | 10 | 10 | 10 | 0 | 0 | 0 | 0 | 10,000011220,
10 | 0 | 0 | 0 | 0 | 10 | 0 | 10 | 0,011220201,
10 | 0 | 10 | 0 | 0 | 0 | 0 | 10 | 0,020212101,
10 | 0 | 0 | 0 | 10 | 10 | 0 | 0 | 0,012200121,
14 | 12 | 0 | 0 | 0 | 0 | 0 | 13 | 0,002221101,
0 | 10 | 0 | 10 | 10 | 0 | 0 | 0 | 0,102001221,
10 | 10 | 10 | 0 | 10 | 0 | 9 | 0 | 0,000102012,
7 | 19 | 0 | 0 | 0 | 13 | 0 | 0 | 0,001120221,
0 | 10 | 0 | 0 | 10 | 0 | 0 | 10 | 0,101202102,
10 | 0 | 0 | 0 | 10 | 10 | 0 | 0 | 0,012200112,
10 | 0 | 0 | 0 | 10 | 0 | 0 | 10 | 0,012201201,
0 | 10 | 0 | 0 | 10 | 0 | 0 | 10 | 0,102201102,
10 | 0 | 0 | 0 | 10 | 0 | 0 | 0 | 10,011202120,
10 | 10 | 0 | 0 | 0 | 0 | 0 | 0 | 10,001221120,
10 | 10 | 0 | 0 | 10 | 10 | 0 | 9 | 0,002100102,
17 | 9 | 4 | 6 | 0 | 0 | 8 | 0 | 0,000021012,
10 | 10 | 10 | 10 | 0 | 0 | 0 | 10 | 0,000022101,
10 | 10 | 0 | 0 | 0 | 0 | 0 | 10 | 0,001212201,
10 | 10 | 0 | 0 | 0 | 0 | 13 | 0 | 0,002122011,
13 | 16 | 0 | 0 | 0 | 10 | 0 | 0 | 0,002210121,
10 | 13 | 0 | 0 | 0 | 0 | 0 | 0 | 10,002211210,
0 | 10 | 0 | 0 | 10 | 10 | 0 | 0 | 0,102100212,
10 | 10 | 0 | 0 | 0 | 10 | 10 | 0 | 13,001210020,
0 | 10 | 0 | 10 | 0 | 10 | 0 | 0 | 0,101020122,
10 | 10 | 10 | 10 | 0 | 10 | 0 | 0 | 0,000010122,
0 | 10 | 0 | 10 | 10 | 0 | 0 | 0 | 0,102001212,
10 | 10 | 0 | 0 | 10 | 10 | 0 | 10 | 0,001200102,
19 | 6 | 38 | 6 | 0 | 83 | 24 | 60 | 0,000010002,
10 | 10 | 10 | 0 | 10 | 0 | 10 | 0 | 0,000102021,
10 | 13 | 0 | 0 | 0 | 0 | 0 | 0 | 13,002112210,
10 | 9 | 0 | 0 | 0 | 0 | 10 | 0 | 0,002221011,
10 | 0 | 0 | 0 | 10 | 0 | 10 | 0 | 0,011202012,
13 | 10 | 0 | 10 | 0 | 10 | 0 | 0 | 10,001010220,
16 | 10 | 0 | 13 | 0 | 10 | 0 | 0 | 10,002010210,
7 | 5 | 0 | 0 | 0 | 0 | 0 | 5 | 0,001121202,
5 | 30 | 9 | 4 | 0 | 0 | 0 | 0 | 5,000021120,
10 | 10 | 0 | 0 | 10 | 0 | 0 | 10 | 10,002101200,
10 | 13 | 0 | 0 | 0 | 10 | 0 | 0 | 0,002210112,
10 | 10 | 0 | 0 | 0 | 0 | 0 | 7 | 0,002211201,
0 | 22 | 0 | 9 | 0 | 0 | 0 | 10 | 0,101021202,
10 | 10 | 0 | 0 | 0 | 0 | 0 | 0 | 13,001211220,
14 | 12 | 0 | 0 | 0 | 0 | 10 | 0 | 0,001221012,
10 | 0 | 0 | 0 | 0 | 10 | 0 | 10 | 0,012110202,
10 | 0 | 0 | 0 | 0 | 10 | 0 | 10 | 0,011220102,
10 | 10 | 0 | 0 | 0 | 10 | 10 | 0 | 10,002110020,
10 | 9 | 10 | 16 | 0 | 0 | 0 | 10 | 0,000011202,
10 | 10 | 10 | 0 | 0 | 0 | 0 | 0 | 0,000121212,
16 | 10 | 0 | 0 | 0 | 0 | 0 | 13 | 0,002112201,
9 | 0 | 10 | 0 | 0 | 0 | 0 | 0 | 10,010122210,
10 | 10 | 10 | 0 | 10 | 0 | 0 | 10 | 0,000102201,
10 | 0 | 0 | 0 | 10 | 10 | 0 | 0 | 0,012200211,
10 | 10 | 0 | 0 | 10 | 10 | 0 | 0 | 10,001200120,
10 | 0 | 0 | 0 | 10 | 0 | 10 | 0 | 0,011202021,
10 | 0 | 0 | 0 | 0 | 10 | 0 | 10 | 0,011210202,
10 | 10 | 0 | 0 | 0 | 0 | 0 | 0 | 10,001112220,
10 | 13 | 0 | 9 | 0 | 0 | 0 | 10 | 10,001021200,
10 | 0 | 0 | 0 | 0 | 13 | 0 | 10 | 0,021210201,
8 | 5 | 14 | 0 | 0 | 0 | 5 | 6 | 0,000112002,
10 | 10 | 10 | 0 | 0 | 0 | 0 | 0 | 0,000112122,
0 | 22 | 0 | 18 | 0 | 0 | 0 | 8 | 0,101022201,
10 | 10 | 13 | 0 | 0 | 0 | 10 | 0 | 10,000212010,
10 | 0 | 0 | 0 | 0 | 10 | 10 | 0 | 0,011220012,
9 | 14 | 0 | 0 | 0 | 0 | 9 | 0 | 0,001122021,
10 | 0 | 0 | 0 | 0 | 16 | 0 | 10 | 0,012220101,
10 | 10 | 0 | 0 | 10 | 0 | 0 | 0 | 0,001201212,
10 | 10 | 0 | 0 | 10 | 10 | 0 | 10 | 0,002200101,
10 | 12 | 0 | 0 | 0 | 0 | 10 | 0 | 0,002112021,
2 | 5 | 0 | 5 | 0 | 3 | 0 | 74 | 0,001010202,
10 | 10 | 0 | 0 | 10 | 0 | 10 | 10 | 0,001102002,
13 | 10 | 10 | 0 | 10 | 0 | 0 | 10 | 0,000202101,
700 | 0 | 702 | 0 | 0 | 3 | 7 | 0 | 107,000020010,
80 | 8 | 0 | 6 | 0 | 0 | 0 | 0 | 0,001021212,
22 | 7 | 7 | 6 | 0 | 0 | 0 | 8 | 0,000021102,
9 | 12 | 0 | 10 | 0 | 10 | 0 | 0 | 10,001020120,
10 | 10 | 0 | 0 | 10 | 0 | 12 | 0 | 10,002101020,
48 | 46 | 0 | 0 | 0 | 0 | 0 | 56 | 0,002211102,
10 | 10 | 0 | 0 | 0 | 0 | 0 | 0 | 10,001212210,
10 | 10 | 0 | 0 | 10 | 0 | 0 | 0 | 0,001102122,
10 | 10 | 0 | 0 | 10 | 0 | 0 | 10 | 10,001201200,
12 | 10 | 10 | 10 | 0 | 10 | 0 | 0 | 0,000010212,
10 | 0 | 9 | 0 | 0 | 0 | 0 | 10 | 0,010122102,
10 | 10 | 10 | 0 | 10 | 0 | 0 | 0 | 10,000102210,
10 | 10 | 10 | 0 | 10 | 0 | 0 | 10 | 0,000102102,
10 | 0 | 10 | 0 | 0 | 0 | 10 | 0 | 0,010121022,
10 | 10 | 0 | 0 | 10 | 10 | 10 | 0 | 0,001200021,
5 | 50 | 2 | 5 | 0 | 3 | 0 | 0 | 0,000020121,
7 | 5 | 17 | 7 | 0 | 0 | 0 | 0 | 5,000021210,
924 | 2 | 0 | 602 | 0 | 78 | 0 | 0 | 133,001020210,
11 | 142 | 11 | 183 | 0 | 20 | 25 | 4 | 0,000020001,
10 | 10 | 0 | 0 | 10 | 10 | 10 | 0 | 0,002100021,
10 | 0 | 0 | 0 | 10 | 10 | 0 | 0 | 0,012100221,
10 | 10 | 0 | 0 | 0 | 0 | 0 | 10 | 0,002212101,
10 | 10 | 0 | 0 | 0 | 0 | 10 | 0 | 0,002211012,
10 | 0 | 0 | 0 | 0 | 10 | 0 | 10 | 0,012210201,
10 | 12 | 10 | 0 | 0 | 0 | 18 | 0 | 12,000112020,
0 | 10 | 0 | 10 | 10 | 10 | 0 | 10 | 0,102000201,
9 | 10 | 10 | 0 | 0 | 0 | 0 | 0 | 0,000212112,
10 | 0 | 10 | 0 | 0 | 0 | 0 | 0 | 10,010122120,
10 | 10 | 0 | 0 | 0 | 0 | 0 | 0 | 10,002112120,
9 | 10 | 0 | 0 | 8 | 0 | 0 | 0 | 0,002201211,
10 | 0 | 0 | 0 | 0 | 10 | 10 | 0 | 0,011220021,
29 | 7 | 0 | 5 | 0 | 6 | 0 | 3 | 0,001020102,
138 | 3 | 0 | 1 | 0 | 3 | 0 | 0 | 0,000020112,
10 | 10 | 13 | 10 | 0 | 0 | 0 | 10 | 0,000021201,
10 | 10 | 0 | 0 | 13 | 0 | 0 | 0 | 0,002101122,
10 | 10 | 0 | 10 | 10 | 0 | 0 | 0 | 10,001002120,
10 | 0 | 0 | 0 | 10 | 10 | 0 | 0 | 0,012100212,
10 | 10 | 0 | 0 | 10 | 0 | 10 | 10 | 0,002101002,
10 | 10 | 0 | 0 | 10 | 0 | 0 | 0 | 0,002102211,
10 | 12 | 0 | 0 | 0 | 0 | 0 | 0 | 10,002211120,
0 | 10 | 0 | 10 | 10 | 10 | 0 | 10 | 0,101000202,
10 | 0 | 10 | 0 | 0 | 0 | 0 | 10 | 0,010112202,
10 | 10 | 0 | 0 | 0 | 0 | 10 | 0 | 0,001211022,
10 | 10 | 0 | 0 | 10 | 0 | 0 | 0 | 0,001102221,
0 | 10 | 0 | 0 | 0 | 10 | 0 | 10 | 0,102110202,
10 | 10 | 10 | 0 | 0 | 0 | 0 | 0 | 0,000212121,
10 | 10 | 10 | 0 | 0 | 0 | 10 | 10 | 0,000212001,
10 | 10 | 0 | 0 | 10 | 10 | 10 | 0 | 0,001200012,
10 | 10 | 10 | 0 | 10 | 0 | 10 | 0 | 0,000101022,
